City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,griffith,41.5284,-87.4237,26.28,62,100,5.14,US,1717873345
160,mejit,10.2753,170.8646,28.35,81,69,7.72,MH,1717873306
161,rongelap,11.1635,166.8941,28.29,82,18,7.37,MH,1717873287
162,kudat,6.8837,116.8477,25.16,94,100,1.54,MY,1717873248
163,quepos,9.4236,-84.1652,29.72,73,90,1.29,CR,1717873450
164,kolpashevo,58.3131,82.9089,13.95,80,100,2.24,RU,1717873450
165,olonkinbyen,70.9221,-8.7187,0.97,93,71,5.26,SJ,1717873255
166,xilin hot,43.9667,116.0333,12.82,38,4,0.7,CN,1717873451
167,laredo,27.5064,-99.5075,34.16,52,0,5.14,US,1717872960
168,tyukhtet,56.5389,89.3011,14.44,98,43,3.44,RU,1717873451
169,weinan,34.5036,109.5089,20.59,51,98,1.96,CN,1717873451
170,north bend,43.4065,-124.2243,22.91,77,75,5.66,US,1717873451
171,praszka,51.0537,18.4532,19.8,66,100,3.11,PL,1717873451
172,namtsy,62.7161,129.6658,10.79,82,4,1.98,RU,1717873304
173,dudinka,69.4058,86.1778,2.04,97,89,4.02,RU,1717873306
174,guatire,10.4762,-66.5427,33.72,75,87,0.51,VE,1717873452
175,hermanus,-34.4187,19.2345,10.45,77,0,2.72,ZA,1717873312
176,souillac,-20.5167,57.5167,23.21,83,40,4.63,MU,1717873279
177,nieuw amsterdam,5.8833,-55.0833,30.09,70,20,3.09,SR,1717873452
178,jatiroto,-7.8833,111.1167,23.12,95,42,0.52,ID,1717873452
179,arawa,-6.2132,155.5367,25.08,92,100,1.38,PG,1717873453
180,saudarkrokur,65.7461,-19.6394,3.01,96,71,3.3,IS,1717873307
181,ust'-kut,56.7938,105.7672,7.47,22,91,2.24,RU,1717873453
182,porbandar,21.6422,69.6093,29.47,77,33,5.01,IN,1717873453
183,woodlake,37.4211,-77.6793,31.1,46,0,4.12,US,1717873453
184,la'ie,21.6477,-157.9253,27.98,76,3,3.13,US,1717873267
185,severo-yeniseyskiy,60.3725,93.0408,11.43,70,100,4.02,RU,1717873322
186,st. john's,47.5649,-52.7093,17.86,73,40,6.69,CA,1717873209
187,caleta de carquin,-11.0925,-77.6267,21.24,71,7,4.74,PE,1717873454
188,el porvenir,13.7617,-87.3458,32.63,67,97,1.86,HN,1717873346
189,pionerskiy,54.9508,20.2275,16.91,80,100,5.42,RU,1717873454
190,kimbe,-5.5502,150.1429,23.77,92,65,1.92,PG,1717873330
191,goondiwindi,-28.55,150.3167,8.56,83,8,2.52,AU,1717873454
192,fort bragg,35.139,-79.006,32.04,31,0,2.06,US,1717873284
193,ambon,-3.6954,128.1814,27.15,15,100,5.03,ID,1717873455
194,nemuro,43.3236,145.575,9.88,96,100,5.05,JP,1717873269
195,den burg,53.0542,4.7972,13.32,74,20,4.63,NL,1717873456
196,tual,-5.6667,132.75,26.43,83,44,9.17,ID,1717873326
197,bukama,-9.2,25.85,22.36,37,0,1.63,CD,1717873456
198,serowe,-22.3833,26.7167,11.53,68,0,5.88,BW,1717873456
199,vila velha,-20.3297,-40.2925,25.97,69,40,2.57,BR,1717873141
200,masterton,-40.9597,175.6575,9.94,90,100,2.74,NZ,1717873457
201,qaqortoq,60.7167,-46.0333,3.64,98,100,1.09,GL,1717873282
202,conception bay south,47.4999,-52.9981,17.73,79,26,2.39,CA,1717873295
203,dunedin,-45.8742,170.5036,6.56,98,100,1.79,NZ,1717873457
204,rockingham,42.9668,-71.0995,23.7,68,90,3.13,US,1717873457
205,tenno,39.9,139.9667,18.19,77,100,5.07,JP,1717873457
206,wanxian,30.8039,108.3897,21.71,91,100,0.72,CN,1717873457
207,aras-asan,8.8908,126.3033,25.8,87,99,2.15,PH,1717873458
208,huangshan,29.7114,118.3125,21.89,88,100,0.57,CN,1717873458
209,konarka,19.9,86.1167,29.22,84,53,7.28,IN,1717873458
210,bikenibeu village,1.3673,173.1241,24.98,100,40,0.0,KI,1717873458
211,zhezqazghan,47.7833,67.7667,27.12,28,64,3.68,KZ,1717873319
212,nar'yan-mar,67.6713,53.087,4.5,73,75,4.92,RU,1717873264
213,arkhangel'sk,64.5401,40.5433,12.29,100,100,1.0,RU,1717873349
214,point pedro,9.8167,80.2333,28.13,82,100,11.06,LK,1717873308
215,oum hadjer,13.2954,19.6966,37.03,21,29,3.51,TD,1717873297
216,lishui,28.4604,119.9103,20.5,96,97,1.02,CN,1717873447
217,tippi,7.2,35.45,18.09,95,68,1.42,ET,1717873459
218,keflavik,64.0049,-22.5624,8.95,61,0,5.14,IS,1717873271
219,detroit lakes,46.8172,-95.8453,22.75,41,20,4.63,US,1717873206
220,greeneville,36.1632,-82.831,27.6,41,0,3.09,US,1717873161
221,aykhal,66.0,111.5,11.78,86,40,3.31,RU,1717873460
222,klyuchi,52.2667,79.1667,17.8,79,6,2.15,RU,1717873264
223,kangdong-up,39.1425,126.0961,15.48,93,0,1.2,KP,1717873460
224,yuzhno-kurilsk,44.0306,145.8556,11.32,98,100,3.8,RU,1717873265
225,woolgoolga,-30.1106,153.2007,7.93,73,0,2.32,AU,1717873460
226,cidreira,-30.1811,-50.2056,19.24,83,47,3.91,BR,1717873461
227,minot air force base,48.4209,-101.3391,23.1,36,40,7.72,US,1717873461
228,udachny,66.4167,112.4,13.58,80,97,2.05,RU,1717873264
229,courtenay,49.6866,-124.9936,25.57,34,75,3.6,CA,1717873363
230,alice springs,-23.7,133.8833,3.75,93,0,2.06,AU,1717873285
231,codrington,-38.2667,141.9667,12.12,69,100,4.6,AU,1717873276
232,los corrales de buelna,43.2636,-4.0726,16.72,99,100,1.16,ES,1717873461
233,shinkafi,13.0753,6.5105,34.25,41,56,3.61,NG,1717873462
234,fraserburgh,57.6874,-2.0184,9.13,77,95,10.46,GB,1717873462
235,saldanha,-33.0117,17.9442,12.03,76,96,5.08,ZA,1717873114
236,nova xavantina,-14.6667,-52.35,32.48,29,6,2.18,BR,1717873216
237,prince rupert,54.3161,-130.3201,20.05,51,0,2.06,CA,1717873462
238,sitangkai,4.6628,119.3928,28.49,75,100,2.92,PH,1717873462
239,merritt,50.1123,-120.7942,23.51,22,60,0.89,CA,1717873338
240,bijelo polje,43.0337,19.747,16.82,91,71,1.15,ME,1717873463
241,mitsamiouli,-11.3847,43.2844,26.47,70,5,5.15,KM,1717873463
242,puerto leguizamo,-0.1934,-74.7819,22.98,99,100,1.16,CO,1717873212
243,al hazm,16.1641,44.7769,31.95,30,0,4.14,YE,1717873336
244,tabuk,17.4189,121.4443,24.52,92,100,1.43,PH,1717873284
245,las khorey,11.1595,48.1967,34.11,50,100,2.26,SO,1717873463
246,leones,-32.6617,-62.2968,25.53,44,100,6.35,AR,1717873463
247,san ignacio,17.1561,-89.0714,31.08,66,40,2.06,BZ,1717873439
248,al qaryatayn,34.2296,37.2407,27.75,27,0,3.76,SY,1717873464
249,middlewich,53.193,-2.444,14.62,63,7,2.68,GB,1717873464
250,barcelos,41.5388,-8.6151,19.91,89,90,1.79,PT,1717873464
251,suva,-18.1416,178.4415,23.71,94,75,2.06,FJ,1717873464
252,east london,-33.0153,27.9116,13.52,82,0,2.06,ZA,1717873231
253,happy valley-goose bay,53.3168,-60.3315,23.17,49,20,3.6,CA,1717873211
254,ancud,-41.8697,-73.8203,12.5,92,100,6.74,CL,1717873304
255,sitka,57.0531,-135.33,18.81,43,100,1.74,US,1717873351
256,magadi,12.9667,77.2333,24.09,88,100,5.67,IN,1717873465
257,todos santos,23.45,-110.2167,36.84,62,5,2.96,MX,1717873465
258,coquimbo,-29.9533,-71.3436,15.85,74,75,5.66,CL,1717873465
259,ronne,55.1009,14.7066,15.95,77,75,4.63,DK,1717873389
260,piacabucu,-10.4056,-36.4344,25.72,86,2,3.47,BR,1717873466
261,monki,53.405,22.7979,15.97,71,6,3.68,PL,1717873466
262,itoman,26.1247,127.6694,26.43,100,75,3.6,JP,1717873327
263,smyrna,33.884,-84.5144,31.56,38,75,2.57,US,1717873413
264,lazaro cardenas,17.9583,-102.2,29.62,59,7,5.54,MX,1717873316
265,tevriz,57.509,72.4042,9.51,95,0,1.73,RU,1717873467
266,juneau,58.3019,-134.4197,20.61,100,100,2.59,US,1717873236
267,greenville,35.6127,-77.3663,29.97,31,0,0.0,US,1717873202
268,cabedelo,-6.9811,-34.8339,29.37,81,87,6.22,BR,1717873319
269,yigo village,13.5361,144.8886,27.16,62,75,4.12,GU,1717873467
270,alaghsas,17.0187,8.0168,38.94,24,96,5.14,NE,1717873467
271,murashi,59.3999,48.9615,12.42,92,97,1.13,RU,1717873467
272,lihue,21.9789,-159.3672,25.81,78,12,2.46,US,1717873285
273,thompson,55.7435,-97.8558,4.09,93,100,4.12,CA,1717873278
274,gioia del colle,40.7967,16.9236,25.99,49,14,1.22,IT,1717873468
275,terbanggi besar,-4.8667,105.2333,24.42,92,15,1.33,ID,1717873468
276,selfoss,63.9331,-20.9971,10.58,50,100,4.78,IS,1717873320
277,santa rita do sapucai,-22.2522,-45.7033,24.54,47,5,1.45,BR,1717873468
278,cabo san lucas,22.8909,-109.9124,30.9,66,73,3.9,MX,1717873080
279,fort mcmurray,56.7268,-111.381,7.77,76,100,3.09,CA,1717873207
280,rodolfo sanchez taboada,31.7167,-116.5667,17.28,77,12,3.58,MX,1717873469
281,nova vicosa,-17.8919,-39.3719,24.45,80,7,4.06,BR,1717873469
282,kavaratti,10.5669,72.642,27.37,87,100,5.8,IN,1717873289
283,polyarnyy,69.1989,33.4478,4.58,85,100,6.91,RU,1717873265
284,ciudad bolivar,8.1222,-63.5497,32.98,48,90,0.58,VE,1717873269
285,westport,41.1415,-73.3579,26.68,46,88,4.02,US,1717873256
286,kita,13.0349,-9.4895,35.45,29,86,3.93,ML,1717873470
287,byron bay,-28.65,153.6167,13.17,75,0,4.94,AU,1717873470
288,newman,37.3138,-121.0208,30.13,23,100,0.17,US,1717873291
289,port alfred,-33.5906,26.891,15.18,78,21,5.33,ZA,1717873261
290,ribeira brava,32.65,-17.0667,22.35,82,79,1.0,PT,1717873470
291,newnham,-41.3833,147.1333,3.7,100,100,2.57,AU,1717873344
292,tomatlan,19.9333,-105.25,32.72,43,2,5.03,MX,1717873337
293,susuman,62.7833,148.1667,1.1,77,100,3.58,RU,1717873260
294,luanda,-8.8368,13.2343,23.0,83,38,2.57,AO,1717873471
295,bedesa,8.9,40.7833,18.41,80,41,2.76,ET,1717873471
296,stephenville,32.2207,-98.2023,35.14,40,0,7.2,US,1717873232
297,harstad,68.799,16.5293,12.11,95,100,1.34,NO,1717873340
298,kone,-21.0595,164.8658,20.74,92,92,1.96,NC,1717873299
299,palikir - national government center,6.9248,158.1611,28.25,78,100,4.85,FM,1717873349
300,lauro de freitas,-12.8944,-38.3272,28.01,69,40,6.17,BR,1717873202
301,dalcahue,-42.3628,-73.7022,13.06,94,100,10.29,CL,1717873472
302,sola,-13.8833,167.55,26.25,79,100,8.96,VU,1717873472
303,mahina,-17.5065,-149.489,24.87,88,75,3.09,PF,1717873286
304,qutqashen,40.9814,47.8458,16.11,69,100,1.75,AZ,1717873473
305,enewetak,11.3474,162.3373,28.16,81,31,6.71,MH,1717873285
306,schoppenstedt,52.1431,10.7745,17.85,82,1,4.9,DE,1717873473
307,revda,56.801,59.9303,11.18,84,87,2.01,RU,1717873343
308,lincoln city,44.9582,-124.0179,22.7,90,100,1.34,US,1717873357
309,plaza huincul,-38.926,-69.2086,14.17,45,100,4.03,AR,1717873220
310,gadzhiyevo,69.2551,33.3362,4.5,86,100,7.18,RU,1717873285
311,santana,-0.0583,-51.1817,29.1,79,75,5.14,BR,1717873473
312,dawei,14.0833,98.2,25.61,91,100,3.18,MM,1717873474
313,toprakkale,37.0686,36.1466,26.22,45,5,1.88,TR,1717873474
314,jalai nur,49.45,117.7,10.39,86,13,1.87,CN,1717873316
315,rio san juan,19.6439,-70.0763,31.92,59,100,5.13,DO,1717873474
316,karachi,24.9056,67.0822,29.9,74,20,6.69,PK,1717873192
317,nabire,-3.3667,135.4833,24.6,95,62,1.34,ID,1717873320
318,sarnia,42.9787,-82.4041,22.19,43,100,0.0,CA,1717873277
319,astorp,56.1357,12.9443,10.92,91,100,5.66,SE,1717873475
320,mo i rana,66.3128,14.1428,14.07,62,75,1.54,NO,1717872995
321,nguigmi,14.2495,13.1092,35.77,28,100,8.73,NE,1717873475
322,tan-tan,28.438,-11.1032,22.97,64,40,7.2,MA,1717873475
323,gonabad,34.3529,58.6837,26.2,18,0,3.33,IR,1717873475
324,fauske,67.2588,15.3918,15.02,59,94,2.35,NO,1717873475
325,mount gambier,-37.8333,140.7667,7.92,88,36,1.97,AU,1717873288
326,ivdel',60.6911,60.4206,13.44,75,17,2.24,RU,1717873476
327,ad dabbah,18.05,30.95,39.22,11,88,2.24,SD,1717873476
328,ixtapa,20.7,-105.2,33.63,51,31,4.74,MX,1717873207
329,am timan,11.0297,20.2827,34.36,31,24,1.76,TD,1717873330
330,saint-philippe,-21.3585,55.7679,21.77,86,88,3.12,RE,1717873280
331,south lake tahoe,38.9332,-119.9844,27.92,29,0,2.06,US,1717873477
332,richmond,37.5538,-77.4603,31.22,40,40,5.14,US,1717872934
333,touros,-5.1989,-35.4608,26.39,89,17,5.82,BR,1717873256
334,port elizabeth,-33.918,25.5701,13.16,94,0,1.54,ZA,1717873289
335,acarau,-2.8856,-40.12,27.84,81,4,4.91,BR,1717873261
336,arraial do cabo,-22.9661,-42.0278,25.98,78,0,6.17,BR,1717873237
337,indramayu,-6.3264,108.32,26.71,81,76,3.18,ID,1717873478
338,stuttgart,48.7823,9.177,19.52,85,20,2.06,DE,1717873448
339,beloyarskiy,63.7119,66.6722,9.44,70,3,2.68,RU,1717873478
340,chonchi,-42.6128,-73.8092,13.56,94,100,4.55,CL,1717873281
341,vakarai,55.6035,23.8213,14.29,87,82,2.58,LT,1717873478
342,kuanda,56.3161,116.0806,5.52,93,19,0.66,RU,1717873478
343,ganshui,28.7422,106.7111,20.6,98,100,0.45,CN,1717873478
344,hilo,19.7297,-155.09,26.72,78,20,1.79,US,1717873137
345,tazacorte,28.629,-17.9293,22.86,79,75,3.6,ES,1717873318
346,bengkulu,-3.8004,102.2655,24.46,93,100,1.79,ID,1717873146
347,leava,-14.3,-178.1667,27.56,74,100,11.43,WF,1717873479
348,borovskoy,53.8,64.15,16.34,95,99,3.77,KZ,1717873479
349,rio branco,-9.9747,-67.81,33.34,49,40,2.06,BR,1717873186
350,sabha,27.0377,14.4283,30.52,11,0,3.9,LY,1717873479
351,saint-francois,46.4154,3.9054,19.12,95,100,3.09,FR,1717873480
352,at taj,24.2049,23.2857,29.73,19,0,5.13,LY,1717873480
353,lauro muller,-28.3928,-49.3967,24.19,70,20,1.34,BR,1717873438
354,gaiman,-43.2897,-65.4929,15.36,48,100,3.22,AR,1717873480
355,carnarvon,-24.8667,113.6333,22.92,73,41,7.8,AU,1717873271
356,ust-tsilma,65.441,52.1498,10.34,58,99,2.68,RU,1717873480
357,beledweyne,4.7358,45.2036,28.53,55,100,8.45,SO,1717873481
358,hithadhoo,-0.6,73.0833,28.53,75,100,4.33,MV,1717873297
359,sinop,41.7711,34.8709,15.29,80,2,1.65,TR,1717873343
360,boda,4.3189,17.4695,22.35,91,100,1.43,CF,1717873481
361,arvayheer,46.2639,102.775,13.25,44,82,1.78,MN,1717873481
362,vadso,70.0744,29.7487,3.49,93,100,6.17,NO,1717873297
363,bulakamba,-6.8748,108.9559,25.58,88,32,2.27,ID,1717873482
364,beroroha,-21.6667,45.1667,20.05,69,0,2.9,MG,1717873482
